seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,collect_to,scorer_path,scorer_mode,scorer_top_k,scorer_filter_logit_threshold,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.35267857142857145,158,448,6.435271919534508,7.608291518408805,8.148758439347148,8.489167084917426,2.8830018199514598,60,5.266666666666667,78620.14217641602,2.887672208948061
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.34598214285714285,155,448,5.455020396246774,7.896624563727528,8.486510638613254,9.523833985440433,2.443849137518555,60,5.166666666666667,78477.91547508335,2.4491008339682594
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.34598214285714285,155,448,5.693598671704032,7.965958444401622,8.786593726836145,9.646708029322326,2.5507322049234062,60,5.166666666666667,78609.98450068821,2.5562188749900088
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.944954128440367,103,109,2.2920562582381003,2.1782079711556435,3.9853670168668027,4.222041927278042,0.24983413214795291,57,1.7166666666666666,152431.43045548478,0.2534484580392018
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.944954128440367,103,109,0.6063727922566714,0.478541012853384,1.3036000542342614,3.4238749649375677,0.06609463435597718,75,1.7166666666666666,152878.81159785023,0.07038229203317314
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.944954128440367,103,109,1.1531070479268737,0.9708749130368233,1.9752168096601954,4.149749991483986,0.12568866822402924,58,1.7166666666666666,152510.48649210454,0.13002666691318154
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9523809523809523,260,273,5.717430847540034,5.994750070385635,9.609349560923874,9.920999989844859,1.5608586213784292,119,4.333333333333333,156727.54880174494,1.5650074579752982
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.7032967032967034,192,273,2.0978629551554993,0.5847919965162873,5.878249555826187,6.253124913200736,0.5727165867574513,120,3.2,156107.72223459475,0.5773963748943061
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9487179487179487,259,273,1.4817185398027464,0.9816250531002879,4.052783246152048,11.113999993540347,0.4045091613661498,120,4.316666666666666,156710.85398567637,0.4091787089128047
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.6830357142857143,306,448,9.802096876228461,10.539479495491832,14.717320929048583,16.61137503106147,4.3913394005503505,120,5.1,157052.3091594929,4.396098333061673
