seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
53,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.6059907834101382,263,434,7.3236146301228535,8.154041483066976,10.770421160850674,11.025500018149614,3.1784487494733185,120,4.383333333333334,157370.78054145037,3.1835117080481723
53,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.6981566820276498,303,434,4.520882300073324,4.698916454799473,7.3929847741965204,7.735540973953903,1.9620629182318226,120,5.05,157617.29067369984,1.966961209080182
53,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.6774193548387096,294,434,3.7810264062994774,3.8525419658981264,7.403573108604178,7.760082953609526,1.6409654603339732,120,4.9,157562.43841558284,1.645931666949764
53,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.6774193548387096,294,434,2.7683757807231135,2.547500014770776,5.769344285363331,5.967541947029531,1.2014750888338313,120,4.9,157444.70826748814,1.20638950006105
53,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.6728110599078341,292,434,1.8221976722092776,1.7652495298534632,3.617816005134953,4.389749956317246,0.7908337897388265,120,4.866666666666666,157395.64405333548,0.7957613749895245
71,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.7799511002444988,319,409,8.57509148203538,8.645333000458777,15.174724976532161,15.513583086431026,3.50721241615247,120,5.316666666666666,157198.60989485856,3.513084957958199
71,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.7799511002444988,319,409,8.56187928514669,8.653791039250791,15.182575001381338,15.706499922089279,3.501808627624996,120,5.316666666666666,157198.60989485856,3.5065940420608968
71,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.8386308068459658,343,409,4.8828005493552515,4.363583982922137,10.677816020324826,11.143167037516832,1.9970654246862978,120,5.716666666666667,157176.7214526255,2.002248708042316
71,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.8581907090464548,351,409,3.4688315880860596,3.2590420451015234,7.2470413986593485,7.423999952152371,1.4187521195271984,119,5.85,157150.29641439856,1.423732666997239
71,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.8484107579462102,347,409,2.9129197361052475,2.4935839464887977,7.775592035613954,8.319291984662414,1.1913841720670462,116,5.783333333333333,156880.38590844025,1.1964529999531806
71,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.8557457212713936,350,409,2.190644061249797,1.8657080363482237,5.23892545606941,6.198749993927777,0.895973421051167,116,5.833333333333333,156855.33923087158,0.9010009170742705
